ant	0_k2
Biotechnology	01ftz
Publishing	0hz28
Transportation	02h7hyr
Retail	0191_7
Archaeology	0h61
Cooking	01mtb
Gambling	034dj
Gardening	034v_
Photography	05wkw
Pottery	064rk
Running	06h7j
Juggling	09nyy
Hiking	012v4j
Birdwatching	017dv8
